movieId,Title,genres,,,,,,,,
190,Dheet Patangey,Drama,,,,,,,,
191,Baaghi 3,"Action,Adventure,Thriller",,,,,,,,
192,Guilty,"Thriller,Drama",,,,,,,,
193,Kaamyaab,"Comedy,Drama",,,,,,,,
194,Angrezi Medium,"Drama,Comedy",,,,,,,,
195,Maska,Comedy,,,,,,,,
196,Bamfaad,"Romance,Drama",,,,,,,,
197,Ateet,"Thriller,Drama",,,,,,,,
198,Mrs. Serial Killer,Thriller,,,,,,,,
199,Ghoomketu,"Comedy,Drama",,,,,,,,
200,Chippa,Drama,,,,,,,,
201,Chintu Ka Birthday,Drama,,,,,,,,
203,Axone,"Drama,Comedy",,,,,,,,
204,Gulabo Sitabo,"Drama,Comedy",,,,,,,,
205,Kadakh,Thriller,,,,,,,,
207,Bulbbul,"Horror,Fantasy",,,,,,,,
208,Bhonsle,Drama,,,,,,,,
209,Unlock,"Horror,Thriller",,,,,,,,
210,Virgin Bhanupriya,"Comedy,Drama",,,,,,,,
211,Dil Bechara,"Drama,Romance",,,,,,,,
212,Yaara,"Action,Drama",,,,,,,,
213,Shakuntala Devi,"Drama,Family,Comedy",,,,,,,,
214,Lootcase,Comedy,,,,,,,,
215,Raat Akeli Hai,"Crime,Mystery,Thriller",,,,,,,,
217,Gunjan Saxena: The Kargil Girl,"Action,Drama",,,,,,,,
218,Khuda Haafiz,"Action,Thriller",,,,,,,,
219,Captain Vidyut,"Action,Comedy,Animation",,,,,,,,
220,Class of '83,"Action,Crime,Drama",,,,,,,,
221,Mee Raqsam,Drama,,,,,,,,
222,Sadak 2,"Romance,Drama,Action",,,,,,,,
223,Ram Singh Charlie,"Drama,Comedy",,,,,,,,
224,Atkan Chatkan,"Drama,Music",,,,,,,,
225,Cargo,"Science Fiction,Drama,Fantasy",,,,,,,,
227,London Confidential,"Thriller,Crime,Drama",,,,,,,,
228,Halahal,"Mystery,Drama",,,,,,,,
229,Khaali Peeli,"Romance,Action,Comedy,Thriller",,,,,,,,
230,Serious Men,"Drama,Comedy",,,,,,,,
231,Ginny Weds Sunny,"Romance,Comedy,Drama,Family",,,,,,,,
232,Comedy Couple,"Comedy,Romance,Drama",,,,,,,,
233,Taish,"Thriller,Drama,Crime",,,,,,,,
234,Kaali Khuhi,"Horror,Drama,Thriller",,,,,,,,
235,Pepper Chicken,Thriller,,,,,,,,
236,Laxmii,"Horror,Comedy",,,,,,,,
237,Ludo,"Crime,Comedy",,,,,,,,
238,Chhalaang,"Comedy,Drama",,,,,,,,
239,Sir,"Drama,Romance",,,,,,,,
240,Suraj Pe Mangal Bhari,"Comedy,Drama",,,,,,,,
241,Anwar Ka Ajab Kissa,"Comedy,Drama",,,,,,,,
242,Darbaan,Drama,,,,,,,,
244,Indoo Ki Jawani,Comedy,,,,,,,,
245,Nirvana Inn,"Mystery,Drama,Thriller",,,,,,,,
246,Torbaaz,Drama,,,,,,,,
247,Eeb Allay Ooo!,"Comedy,Drama",,,,,,,,
248,Unpaused,"Comedy,Drama",,,,,,,,
249,AK vs AK,"Comedy,Action,Drama,Crime",,,,,,,,
250,Coolie No. 1,"Comedy,Drama",,,,,,,,
251,Shakeela,"Drama,Romance",,,,,,,,
252,Cabaret,"Music,Romance,Drama",,,,,,,,
253,Uri: The Surgical Strike,"Action,Drama,War",,,,,,,,
254,Battalion 609,"Action,War,Drama",,,,,,,,
255,The Accidental Prime Minister,"History,Drama",,,,,,,,
256,Why Cheat India,"Drama,Crime",,,,,,,,
257,SP Chauhan,Drama,,,,,,,,
259,Soni,"Drama,Crime",,,,,,,,
260,72 Hours: Martyr Who Never Died,"War,History",,,,,,,,
261,Bombairiya,"Comedy,Crime,Drama",,,,,,,,
262,Rangeela Raja,"Comedy,Drama",,,,,,,,
263,Thackeray,"Drama,History",,,,,,,,
264,Manikarnika: The Queen of Jhansi,"History,Drama,Action",,,,,,,,
265,Ek Ladki Ko Dekha Toh Aisa Laga,"Romance,Drama",,,,,,,,
266,The Fakir of Venice,"Comedy,Drama",,,,,,,,
268,Amavas,"Horror,Romance,Thriller",,,,,,,,
269,Gully Boy,"Drama,Music",,,,,,,,
270,Hum Chaar,Drama,,,,,,,,
271,Total Dhamaal,"Comedy,Adventure,Action",,,,,,,,
273,Luka Chuppi,"Comedy,Romance",,,,,,,,
274,Sonchiriya,"Crime,Action,Drama",,,,,,,,
275,The Sholay Girl,"Action,Drama",,,,,,,,
276,Hamid,Drama,,,,,,,,
277,Photograph,"Drama,Romance",,,,,,,,
278,Milan Talkies,"Drama,Romance",,,,,,,,
279,Mere Pyare Prime Minister,Drama,,,,,,,,
280,22 Yards,Drama,,,,,,,,
281,377 Ab Normal,Drama,,,,,,,,
282,Kesari,"Action,Drama,History,War",,,,,,,,
284,Notebook,"Romance,Drama",,,,,,,,
285,Junglee,"Action,Adventure",,,,,,,,
287,Romeo Akbar Walter,"Action,Thriller",,,,,,,,
289,The Tashkent Files,"Drama,Mystery,Thriller",,,,,,,,
290,Blackboard vs Whiteboard,Family,,,,,,,,
291,Kalank,"Drama,Romance",,,,,,,,
292,Blank,"Action,Thriller",,,,,,,,
293,Setters,"Crime,Thriller",,,,,,,,
294,Yours Truly,Drama,,,,,,,,
295,Badnaam Gali,"Drama,Comedy,Family",,,,,,,,
296,Student of the Year 2,"Romance,Comedy,Drama",,,,,,,,
297,Chhoriyan Chhoron Se Kam Nahi Hoti,"Action,Drama",,,,,,,,
298,De De Pyaar De,"Romance,Comedy",,,,,,,,
299,India's Most Wanted,"Action,Thriller",,,,,,,,
300,PM Narendra Modi,"Drama,History",,,,,,,,
302,Bharat,"Drama,Action",,,,,,,,
303,Khamoshi,Thriller,,,,,,,,
304,Kissebaaz,Drama,,,,,,,,
306,Kabir Singh,"Drama,Romance",,,,,,,,
307,Article 15,"Drama,Crime",,,,,,,,
308,Malaal,"Romance,Drama",,,,,,,,
309,One Day: Justice Delivered,"Crime,Thriller,Drama",,,,,,,,
310,Hume Tumse Pyaar Kitna,"Drama,Thriller",,,,,,,,
311,Marudhar Express,"Drama,Romance",,,,,,,,
312,Super 30,Drama,,,,,,,,
313,Family of Thakurganj,"Drama,Action",,,,,,,,
314,Jhootha Kahin Ka,"Comedy,Drama",,,,,,,,
315,Judgementall Hai Kya,"Comedy,Drama,Thriller",,,,,,,,
316,Arjun Patiala,"Comedy,Romance",,,,,,,,
317,Khandaani Shafakhana,"Comedy,Drama",,,,,,,,
318,Barot House,Thriller,,,,,,,,
319,Jabariya Jodi,"Drama,Romance",,,,,,,,
320,Pranaam,"Action,Crime,Drama",,,,,,,,
321,Batla House,"Action,Drama,Thriller",,,,,,,,
322,Mission Mangal,"Drama,History",,,,,,,,
323,Posham Pa,"Crime,Drama,Thriller",,,,,,,,
324,Chhichhore,"Romance,Comedy,Drama",,,,,,,,
325,Dream Girl,"Romance,Comedy",,,,,,,,
326,Section 375,"Drama,Crime,Thriller",,,,,,,,
327,The Zoya Factor,Romance,,,,,,,,
328,Pal Pal Dil Ke Paas,Romance,,,,,,,,
329,Prassthanam,"Action,Drama",,,,,,,,
330,War,"Action,Thriller,Adventure",,,,,,,,
331,The Sky Is Pink,"Romance,Drama,Comedy",,,,,,,,
332,P Se Pyaar F Se Faraar,"Crime,Drama,Romance",,,,,,,,
336,Housefull 4,"Comedy,Drama",,,,,,,,
337,Kanpuriye,Drama,,,,,,,,
339,Saand Ki Aankh,Drama,,,,,,,,
340,Drive,"Action,Thriller",,,,,,,,
341,Ujda Chaman,"Comedy,Drama",,,,,,,,
342,Bala,"Comedy,Romance",,,,,,,,
343,Bypass Road,"Drama,Thriller",,,,,,,,
344,Satellite Shankar,"Action,Drama",,,,,,,,
345,Jhalki,Drama,,,,,,,,
346,House Arrest,Comedy,,,,,,,,
347,Marjaavaan,"Romance,Action",,,,,,,,
348,Motichoor Chaknachoor,"Romance,Drama",,,,,,,,
349,Pagalpanti,"Comedy,Action",,,,,,,,
350,Commando 3,"Action,Thriller",,,,,,,,
351,Yeh Saali Aashiqui,"Thriller,Romance",,,,,,,,
352,Panipat,"Action,History,War,Romance",,,,,,,,
353,Pati Patni Aur Woh,"Comedy,Romance",,,,,,,,
354,Mardaani 2,"Action,Crime,Thriller",,,,,,,,
355,The Body,"Thriller,Mystery",,,,,,,,
356,Dabangg 3,"Action,Comedy,Crime",,,,,,,,
357,Happi,"Comedy,Drama",,,,,,,,
358,Good Newwz,"Romance,Comedy,Family,Drama",,,,,,,,
359,1921,"Thriller,Horror",,,,,,,,
360,Kaalakaandi,"Comedy,Thriller,Drama",,,,,,,,
361,Mukkabaaz,Drama,,,,,,,,
362,My Birthday Song,Thriller,,,,,,,,
363,Vodka Diaries,"Mystery,Thriller",,,,,,,,
364,Nirdosh,"Mystery,Thriller",,,,,,,,
365,Union Leader,Drama,,,,,,,,
366,Padmaavat,"Drama,History,Romance",,,,,,,,
367,Pad Man,"Comedy,Drama",,,,,,,,
368,Love per Square Foot,"Comedy,Romance",,,,,,,,
369,Aiyaary,"Action,Thriller",,,,,,,,
370,Kuchh Bheege Alfaaz,"Romance,Drama",,,,,,,,
372,Sonu Ke Titu Ki Sweety,"Romance,Comedy",,,,,,,,
373,Veerey Ki Wedding,Comedy,,,,,,,,
374,Hate Story IV,"Thriller,Crime,Drama",,,,,,,,
375,Dil Juunglee,"Comedy,Romance",,,,,,,,
376,3 Storeys,Drama,,,,,,,,
377,Raid,"Crime,Drama,Thriller,Action",,,,,,,,
378,Hichki,"Drama,Comedy",,,,,,,,
379,Shaadi Teri Bajayenge Hum Band,Comedy,,,,,,,,
380,Baaghi 2,"Action,Crime,Drama",,,,,,,,
381,Blackmail,"Comedy,Thriller",,,,,,,,
382,Missing,"Thriller,Mystery",,,,,,,,
383,October,"Drama,Romance",,,,,,,,
384,Beyond the Clouds,"Family,Drama",,,,,,,,
385,Nanu Ki Jaanu,"Comedy,Horror",,,,,,,,
386,Daas Dev,"Thriller,Drama",,,,,,,,
